id,date,"Qual é o seu gênero?
","Qual é a sua faixa etária?
"
ca116efd-35fb-47be-8b19-f698feb9c667,2026-04-03 23:06:14.409877+00,Masculino,35 a 44 anos
cd651851-25bc-4265-8364-380d0e81a05c,2026-03-25 21:02:38.985975+00,Feminino,35 a 44 anos
ced12832-313c-4f41-b5e2-f7b03971437f,2026-03-25 15:11:06.801649+00,Masculino,Menos de 18 anos
d667a643-ce1c-4363-bba0-4fb5d751eb0d,2026-03-30 23:58:25.59524+00,Feminino,35 a 44 anos
d93a783a-aa19-4273-8ebc-09a1aed7ca34,2026-03-25 18:16:54.607108+00,Masculino,55 anos ou mais
df4db4d1-9846-4b7b-ac0b-ab67b98a4800,2026-03-25 16:59:39.73657+00,Feminino,55 anos ou mais
e2da30a1-2bc2-4d42-9225-83524ac347f5,2026-03-26 13:41:06.664793+00,Feminino,45 a 54 anos
e3dd51fd-0c93-4c90-8a3a-e5f7e000ed48,2026-03-30 14:26:34.850576+00,Feminino,25 a 34 anos
e61589d8-1f5c-4fbe-a911-005becac30cd,2026-03-27 14:49:54.312832+00,Feminino,35 a 44 anos
e6a91648-c71b-4b98-895c-4ce3bc7b094a,2026-03-30 18:43:58.491332+00,Feminino,45 a 54 anos
e832db9e-55da-48ba-b28a-6e22a4fd3086,2026-03-30 14:45:14.362587+00,Feminino,25 a 34 anos
e8cb24b4-d397-429f-a51c-a36595c81eba,2026-03-26 13:26:31.023473+00,Feminino,35 a 44 anos
e99ebc6c-9b67-4a1a-8afd-91eeceac2fbe,2026-03-26 13:10:03.396662+00,Masculino,55 anos ou mais
e9eb8a1c-9fee-43cc-932c-1644c2d9cfd5,2026-03-25 18:17:10.407923+00,Feminino,35 a 44 anos
ebde1bb5-9456-44ba-812c-7857faf01b66,2026-03-31 17:04:40.233285+00,Feminino,35 a 44 anos
f19b1ef1-017d-447c-97b0-b41ded39f556,2026-03-30 20:08:10.770098+00,Feminino,35 a 44 anos
f7725a9b-3639-4b2e-af23-0c799d0638b7,2026-03-25 17:16:53.004087+00,Feminino,25 a 34 anos
fb7bca32-8df1-445c-8ac3-9703c67370ff,2026-03-25 18:54:02.392602+00,Feminino,55 anos ou mais
fdcbeca6-b370-4f6f-8c3d-a42dbb705fa3,2026-03-25 16:35:44.664447+00,Feminino,25 a 34 anos
